Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Date,Clicks,Impressions,Engagement_Score,Customer_Segment,Month,Month_Name
760,Innovate Industries,Display,Women 35-44,15 days,Email,"0,14","$5.708,00","6,73",Chicago,2021-01-30,606,1545,10,Outdoor Adventurers,1,January
761,Alpha Innovations,Email,Women 35-44,30 days,YouTube,"0,12","$11.148,00","3,2",Houston,2021-01-31,602,1014,1,Foodies,1,January
1096,NexGen Systems,Search,Men 25-34,45 days,Email,"0,02","$16.024,00","2,95",Chicago,2021-01-01,929,5720,3,Foodies,1,January
1097,Innovate Industries,Display,Women 25-34,15 days,Website,"0,11","$15.793,00","5,84",New York,2021-01-02,681,1586,3,Fashionistas,1,January
1098,DataTech Solutions,Search,Women 35-44,60 days,Google Ads,"0,03","$7.867,00","5,67",Los Angeles,2021-01-03,344,4687,3,Outdoor Adventurers,1,January
1099,NexGen Systems,Display,Men 25-34,30 days,YouTube,"0,05","$16.413,00","6,12",Los Angeles,2021-01-04,433,1151,7,Foodies,1,January
1100,TechCorp,Social Media,Men 18-24,15 days,Website,"0,07","$16.805,00","5,29",New York,2021-01-05,965,6252,3,Foodies,1,January
1101,Innovate Industries,Influencer,All Ages,45 days,Website,"0,14","$18.698,00","7,99",Los Angeles,2021-01-06,994,8016,4,Foodies,1,January
1102,Alpha Innovations,Search,Men 25-34,60 days,Website,"0,05","$19.242,00","3,42",Chicago,2021-01-07,721,3441,4,Tech Enthusiasts,1,January
1103,NexGen Systems,Search,All Ages,60 days,Facebook,"0,11","$8.254,00","3,66",Chicago,2021-01-08,414,1726,2,Outdoor Adventurers,1,January
1104,DataTech Solutions,Search,Men 25-34,60 days,YouTube,"0,02","$16.525,00","4,98",New York,2021-01-09,107,3068,10,Health & Wellness,1,January
1105,Alpha Innovations,Social Media,Men 25-34,15 days,Email,"0,1","$17.111,00","6,79",Chicago,2021-01-10,445,6826,7,Tech Enthusiasts,1,January
1106,TechCorp,Email,Women 35-44,45 days,Website,"0,05","$14.379,00","2,46",New York,2021-01-11,865,5147,1,Outdoor Adventurers,1,January
1107,Alpha Innovations,Display,Women 25-34,15 days,YouTube,"0,13","$19.873,00","6,12",New York,2021-01-12,846,7513,1,Tech Enthusiasts,1,January
1108,Alpha Innovations,Social Media,Men 25-34,30 days,YouTube,"0,1","$12.913,00","3,41",Miami,2021-01-13,196,3515,6,Tech Enthusiasts,1,January
1109,Alpha Innovations,Email,Women 35-44,15 days,Instagram,"0,01","$7.847,00","3,62",Los Angeles,2021-01-14,470,1494,4,Fashionistas,1,January
1110,Alpha Innovations,Email,Women 35-44,60 days,Website,"0,13","$5.815,00","6,66",Los Angeles,2021-01-15,442,9213,1,Outdoor Adventurers,1,January
1111,DataTech Solutions,Social Media,All Ages,30 days,Google Ads,"0,1","$17.787,00","3,05",Chicago,2021-01-16,519,2919,1,Fashionistas,1,January
1112,DataTech Solutions,Social Media,All Ages,60 days,Instagram,"0,15","$17.972,00","4,43",Miami,2021-01-17,736,4806,4,Tech Enthusiasts,1,January
1113,Innovate Industries,Display,Women 35-44,30 days,Facebook,"0,02","$6.403,00","3,78",Los Angeles,2021-01-18,295,5038,3,Tech Enthusiasts,1,January
1114,Innovate Industries,Display,Men 18-24,15 days,Email,"0,06","$16.146,00","4,04",Miami,2021-01-19,559,7335,9,Tech Enthusiasts,1,January
1115,TechCorp,Email,Men 18-24,60 days,Instagram,"0,07","$15.607,00","3,48",Miami,2021-01-20,632,8634,6,Tech Enthusiasts,1,January
1116,DataTech Solutions,Social Media,Men 18-24,15 days,YouTube,"0,05","$14.985,00","5,6",New York,2021-01-21,229,5185,3,Tech Enthusiasts,1,January
1117,Innovate Industries,Search,Women 25-34,60 days,Google Ads,"0,06","$17.359,00","4,91",Chicago,2021-01-22,422,9092,7,Foodies,1,January
1118,Alpha Innovations,Display,Women 25-34,30 days,Google Ads,"0,11","$9.925,00","5,25",Chicago,2021-01-23,183,6148,4,Outdoor Adventurers,1,January
1119,DataTech Solutions,Social Media,Women 25-34,60 days,Facebook,"0,04","$9.441,00","5,24",Miami,2021-01-24,783,2998,3,Outdoor Adventurers,1,January
1120,NexGen Systems,Influencer,All Ages,15 days,Email,"0,02","$16.223,00","5,87",Houston,2021-01-25,271,4829,10,Outdoor Adventurers,1,January
1121,TechCorp,Social Media,Women 25-34,45 days,Instagram,"0,15","$17.378,00","7,61",Miami,2021-01-26,599,1933,2,Fashionistas,1,January
1122,NexGen Systems,Influencer,All Ages,15 days,Google Ads,"0,1","$8.972,00","6,26",Los Angeles,2021-01-27,441,6555,5,Fashionistas,1,January
1123,Alpha Innovations,Display,Men 25-34,30 days,YouTube,"0,03","$11.862,00","3,96",Los Angeles,2021-01-28,224,7841,6,Health & Wellness,1,January
1124,NexGen Systems,Display,All Ages,30 days,Facebook,"0,05","$7.215,00","5,84",Miami,2021-01-29,718,6491,1,Foodies,1,January
1125,Alpha Innovations,Influencer,Men 25-34,45 days,YouTube,"0,07","$14.858,00","6,56",Los Angeles,2021-01-30,608,7267,6,Fashionistas,1,January
1126,TechCorp,Display,Women 35-44,15 days,Instagram,"0,08","$11.918,00","7,52",Houston,2021-01-31,490,9394,9,Foodies,1,January
1461,TechCorp,Email,Men 18-24,30 days,Email,"0,1","$7.738,00","7,42",Miami,2021-01-01,999,5489,7,Foodies,1,January
1462,Alpha Innovations,Search,Men 25-34,30 days,Google Ads,"0,05","$11.694,00","6,99",New York,2021-01-02,970,5949,2,Fashionistas,1,January
1463,DataTech Solutions,Influencer,Men 25-34,15 days,Google Ads,"0,06","$17.393,00","3,26",Los Angeles,2021-01-03,895,2934,8,Health & Wellness,1,January
1464,DataTech Solutions,Influencer,Men 25-34,30 days,Facebook,"0,09","$12.014,00","4,16",Chicago,2021-01-04,477,2055,9,Foodies,1,January
1465,DataTech Solutions,Social Media,Women 35-44,60 days,Email,"0,11","$9.317,00","4,19",Houston,2021-01-05,331,1453,9,Outdoor Adventurers,1,January
1466,NexGen Systems,Social Media,Women 35-44,60 days,Email,"0,05","$18.736,00","3,64",Miami,2021-01-06,339,4614,10,Fashionistas,1,January
1467,DataTech Solutions,Influencer,Men 18-24,45 days,Email,"0,11","$7.773,00","5,97",New York,2021-01-07,146,3573,9,Tech Enthusiasts,1,January
1468,TechCorp,Email,All Ages,15 days,Facebook,"0,02","$7.595,00","4,68",Miami,2021-01-08,597,6535,4,Health & Wellness,1,January
1469,Alpha Innovations,Display,Men 18-24,30 days,Email,"0,12","$10.631,00","4,76",Chicago,2021-01-09,198,5859,7,Foodies,1,January
1470,TechCorp,Display,Men 25-34,30 days,Instagram,"0,05","$5.498,00","4,91",New York,2021-01-10,352,1852,5,Health & Wellness,1,January
1471,Alpha Innovations,Influencer,Women 35-44,30 days,Website,"0,05","$16.401,00","4,56",Houston,2021-01-11,676,9040,5,Health & Wellness,1,January
1472,Innovate Industries,Influencer,Women 25-34,30 days,Email,"0,07","$13.019,00","2,96",Los Angeles,2021-01-12,211,2928,10,Outdoor Adventurers,1,January
1473,Innovate Industries,Social Media,Women 25-34,60 days,Email,"0,01","$7.215,00","7,32",Miami,2021-01-13,616,9826,1,Tech Enthusiasts,1,January
1474,DataTech Solutions,Email,Women 25-34,60 days,YouTube,"0,1","$13.603,00","4,13",Los Angeles,2021-01-14,346,9327,1,Health & Wellness,1,January
1475,Innovate Industries,Display,Men 18-24,45 days,Instagram,"0,09","$18.249,00","3,19",New York,2021-01-15,104,6969,4,Outdoor Adventurers,1,January
1476,DataTech Solutions,Social Media,All Ages,60 days,Email,"0,14","$11.648,00","3,41",Los Angeles,2021-01-16,696,3025,9,Outdoor Adventurers,1,January
1477,NexGen Systems,Influencer,All Ages,30 days,Email,"0,05","$6.410,00","2,77",Houston,2021-01-17,301,4085,1,Tech Enthusiasts,1,January
1478,NexGen Systems,Search,Men 18-24,30 days,Facebook,"0,05","$14.476,00","7,18",New York,2021-01-18,904,1003,3,Health & Wellness,1,January
1479,NexGen Systems,Social Media,Women 35-44,30 days,Website,"0,14","$19.597,00","5,37",Los Angeles,2021-01-19,163,3150,3,Foodies,1,January
1480,Innovate Industries,Email,Men 18-24,60 days,Facebook,"0,14","$7.795,00","6,39",New York,2021-01-20,323,4262,6,Outdoor Adventurers,1,January
1481,Innovate Industries,Display,Men 18-24,45 days,Email,"0,12","$19.921,00","4,07",Los Angeles,2021-01-21,884,2980,7,Tech Enthusiasts,1,January
1482,NexGen Systems,Display,Women 25-34,30 days,Facebook,"0,02","$16.232,00","4,31",Chicago,2021-01-22,810,8579,4,Fashionistas,1,January
1483,NexGen Systems,Display,All Ages,60 days,Email,"0,01","$8.691,00","2,74",New York,2021-01-23,193,5942,3,Tech Enthusiasts,1,January
1484,NexGen Systems,Email,Women 25-34,30 days,YouTube,"0,15","$13.628,00","3,39",Houston,2021-01-24,759,2217,3,Fashionistas,1,January
1485,Alpha Innovations,Display,Women 35-44,60 days,Google Ads,"0,04","$13.808,00","4,85",Chicago,2021-01-25,981,5515,2,Foodies,1,January
1486,Innovate Industries,Display,Women 25-34,45 days,Instagram,"0,02","$17.342,00","4,48",Los Angeles,2021-01-26,866,5734,9,Tech Enthusiasts,1,January
1487,TechCorp,Email,Women 25-34,30 days,Website,"0,15","$16.696,00","6,62",Chicago,2021-01-27,565,7191,9,Tech Enthusiasts,1,January
1488,NexGen Systems,Influencer,Men 18-24,60 days,Google Ads,"0,12","$12.023,00","6,69",New York,2021-01-28,930,5020,5,Fashionistas,1,January
1489,TechCorp,Email,Women 35-44,45 days,Website,"0,08","$15.553,00","4,06",New York,2021-01-29,295,3096,10,Fashionistas,1,January
1490,NexGen Systems,Display,Women 35-44,15 days,Instagram,"0,02","$5.818,00","2,78",Los Angeles,2021-01-30,380,2732,1,Outdoor Adventurers,1,January
1491,DataTech Solutions,Social Media,Women 35-44,45 days,Email,"0,09","$5.581,00","4,44",Los Angeles,2021-01-31,497,9679,2,Outdoor Adventurers,1,January
1826,TechCorp,Social Media,Men 18-24,15 days,Facebook,"0,1","$18.527,00","7,76",New York,2021-01-01,815,5938,8,Health & Wellness,1,January
1827,Alpha Innovations,Social Media,Women 25-34,45 days,YouTube,"0,02","$13.485,00","6,56",Miami,2021-01-02,395,8497,4,Outdoor Adventurers,1,January
1828,DataTech Solutions,Display,Women 35-44,60 days,Google Ads,"0,06","$9.282,00","2,24",Miami,2021-01-03,423,9130,1,Health & Wellness,1,January
1829,NexGen Systems,Display,Men 25-34,15 days,Website,"0,07","$14.860,00","4,7",Miami,2021-01-04,469,5607,8,Outdoor Adventurers,1,January
1830,TechCorp,Social Media,Men 25-34,30 days,Instagram,"0,15","$10.387,00","7,11",Houston,2021-01-05,410,7663,6,Outdoor Adventurers,1,January
1831,TechCorp,Influencer,Men 18-24,15 days,YouTube,"0,08","$5.006,00","4,47",Los Angeles,2021-01-06,820,3136,6,Foodies,1,January
1832,NexGen Systems,Email,Women 25-34,30 days,YouTube,"0,06","$14.080,00","3,98",New York,2021-01-07,134,1298,7,Tech Enthusiasts,1,January
1833,DataTech Solutions,Influencer,Women 35-44,30 days,YouTube,"0,05","$10.310,00","7,51",Miami,2021-01-08,244,4126,8,Fashionistas,1,January
1834,Innovate Industries,Influencer,Women 25-34,45 days,Website,"0,02","$13.977,00","4,63",Los Angeles,2021-01-09,926,9502,8,Tech Enthusiasts,1,January
1835,Innovate Industries,Search,All Ages,15 days,Website,"0,04","$11.576,00","5,08",Houston,2021-01-10,939,8641,3,Fashionistas,1,January
1836,Alpha Innovations,Email,Men 25-34,45 days,Email,"0,04","$15.475,00","2,28",Los Angeles,2021-01-11,417,7944,8,Outdoor Adventurers,1,January
1837,TechCorp,Search,Women 35-44,45 days,Facebook,"0,03","$12.236,00","2,89",Los Angeles,2021-01-12,842,1803,4,Foodies,1,January
1838,NexGen Systems,Social Media,Men 25-34,30 days,YouTube,"0,14","$17.160,00","3,38",Chicago,2021-01-13,408,4284,5,Outdoor Adventurers,1,January
1839,TechCorp,Social Media,Men 25-34,15 days,Google Ads,"0,07","$15.939,00","5,41",New York,2021-01-14,575,8676,9,Health & Wellness,1,January
1840,NexGen Systems,Social Media,Men 18-24,60 days,Website,"0,05","$18.489,00","3,9",Chicago,2021-01-15,809,3875,1,Health & Wellness,1,January
1841,Alpha Innovations,Email,Men 25-34,30 days,Instagram,"0,03","$6.795,00","5,81",Los Angeles,2021-01-16,769,2493,9,Tech Enthusiasts,1,January
1842,TechCorp,Display,All Ages,15 days,Google Ads,"0,1","$12.518,00","4,51",Miami,2021-01-17,124,1642,9,Foodies,1,January
1843,Alpha Innovations,Influencer,Men 18-24,15 days,Email,"0,11","$9.207,00","7,47",Chicago,2021-01-18,495,3868,4,Fashionistas,1,January
1844,NexGen Systems,Display,Men 18-24,45 days,YouTube,"0,04","$11.530,00","2,5",Houston,2021-01-19,503,4030,2,Health & Wellness,1,January
1845,TechCorp,Influencer,Women 35-44,30 days,Instagram,"0,14","$16.309,00","3,37",New York,2021-01-20,211,4471,10,Fashionistas,1,January
1846,TechCorp,Search,Women 25-34,30 days,Google Ads,"0,06","$7.235,00","6,57",Houston,2021-01-21,254,5024,4,Health & Wellness,1,January
1847,TechCorp,Email,Women 35-44,45 days,Website,"0,11","$5.485,00","7,99",Chicago,2021-01-22,176,4114,7,Fashionistas,1,January
1848,DataTech Solutions,Search,Women 25-34,60 days,Email,"0,06","$14.489,00","5,84",New York,2021-01-23,560,9144,4,Fashionistas,1,January
1849,TechCorp,Email,Men 18-24,45 days,YouTube,"0,11","$7.372,00","2,94",Los Angeles,2021-01-24,429,3677,2,Tech Enthusiasts,1,January
